commodity,variable,type,importance
Onions,cold_stress,encoder,0.0338125999428724
Onions,covid_lockdown,decoder,0.12084189596536912
Onions,covid_lockdown,encoder,0.054608573156752084
Onions,heat_stress,encoder,0.011821806749427006
Onions,humidity_mean,encoder,0.06638572703262693
Onions,log_price,encoder,0.04071922016967284
Onions,month,decoder,0.19793935531848356
Onions,month,encoder,0.01193431144776313
Onions,month_cos,decoder,0.039995534835677395
Onions,month_cos,encoder,0.0327033907371132
Onions,month_sin,decoder,0.29714335971756983
Onions,month_sin,encoder,0.034633233800138295
Onions,price_lag_12m,encoder,0.03664089057986673
Onions,price_lag_1m,encoder,0.03309496379408397
Onions,rain_deficit,encoder,0.15991371585742423
Onions,rain_excess,encoder,0.1270869480151879
Onions,rainfall_monthly,encoder,0.0062267904439450876
Onions,relative_time_idx,decoder,0.020497516140733894
Onions,relative_time_idx,encoder,0.02954496109956189
Onions,rolling_3m,encoder,0.015711362914819466
Onions,rolling_6m,encoder,0.04595637948889481
Onions,season,decoder,0.1304851836083751
Onions,season,encoder,0.04032374496914839
Onions,temperature_mean,encoder,0.12337990379647205
Onions,time_idx,decoder,0.040173407595016454
Onions,time_idx,encoder,0.010508380493296212
Onions,year,decoder,0.15292375083816678
Onions,year,encoder,0.06049706777067561
Onions,yoy_change,encoder,0.024496020700194333
Rice,cold_stress,encoder,0.031134559120982886
Rice,covid_lockdown,decoder,0.10362969730049372
Rice,covid_lockdown,encoder,0.05883260224945843
Rice,heat_stress,encoder,0.011238468484953046
Rice,humidity_mean,encoder,0.07000875971280038
Rice,log_price,encoder,0.025524715753272177
Rice,month,decoder,0.18929524514824153
Rice,month,encoder,0.012672935542650521
Rice,month_cos,decoder,0.04476072401739657
Rice,month_cos,encoder,0.031590481637977064
Rice,month_sin,decoder,0.336320710927248
Rice,month_sin,encoder,0.028773706429637967
Rice,price_lag_12m,encoder,0.037381659261882305
Rice,price_lag_1m,encoder,0.03851327742449939
Rice,rain_deficit,encoder,0.1498249962925911
Rice,rain_excess,encoder,0.14946970958262681
Rice,rainfall_monthly,encoder,0.005991798714967444
Rice,relative_time_idx,decoder,0.0204038264695555
Rice,relative_time_idx,encoder,0.028887647087685764
Rice,rolling_3m,encoder,0.015766889601945878
Rice,rolling_6m,encoder,0.03536487929522991
Rice,season,decoder,0.14499935414642096
Rice,season,encoder,0.045739470329135654
Rice,temperature_mean,encoder,0.13496510460972785
Rice,time_idx,decoder,0.03495493987575173
Rice,time_idx,encoder,0.008686176413903013
Rice,year,decoder,0.12563549857586623
Rice,year,encoder,0.06052175248041749
Rice,yoy_change,encoder,0.019110408215783536
Tomatoes,cold_stress,encoder,0.025097520959873994
Tomatoes,covid_lockdown,decoder,0.13455769899818631
Tomatoes,covid_lockdown,encoder,0.06206084961692492
Tomatoes,heat_stress,encoder,0.011571405082941055
Tomatoes,humidity_mean,encoder,0.06322116545504994
Tomatoes,log_price,encoder,0.05339358962244457
Tomatoes,month,decoder,0.15622859001159667
Tomatoes,month,encoder,0.012100350122070974
Tomatoes,month_cos,decoder,0.05725509574015935
Tomatoes,month_cos,encoder,0.025295945443212987
Tomatoes,month_sin,decoder,0.38082972168922424
Tomatoes,month_sin,encoder,0.030223601228661006
Tomatoes,price_lag_12m,encoder,0.039990375397933854
Tomatoes,price_lag_1m,encoder,0.0312933841927184
Tomatoes,rain_deficit,encoder,0.1144479734202226
Tomatoes,rain_excess,encoder,0.15048521376318402
Tomatoes,rainfall_monthly,encoder,0.00569577794522047
Tomatoes,relative_time_idx,decoder,0.018653684481978416
Tomatoes,relative_time_idx,encoder,0.02837446603096194
Tomatoes,rolling_3m,encoder,0.015266600251197814
Tomatoes,rolling_6m,encoder,0.03439474432832665
Tomatoes,season,decoder,0.11821588228146235
Tomatoes,season,encoder,0.04015881112880177
Tomatoes,temperature_mean,encoder,0.16653702325291103
Tomatoes,time_idx,decoder,0.02755094708667861
Tomatoes,time_idx,encoder,0.009093860883472695
Tomatoes,year,decoder,0.10670838240120147
Tomatoes,year,encoder,0.05920228353805012
Tomatoes,yoy_change,encoder,0.02209506140400966
